# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFSFlusher.totalFlushes,1709312334944000000,1709312394955000000,1
IndexesFlusher.totalFlushesRetried,1709312334944000000,1709312394955000000,0
IndexesFlusher.totalFlushes,1709312334944000000,1709312394955000000,53
IndexesFlusher.totalContentionQuotaSpent,1709312334944000000,1709312394955000000,0
VFSFlusher.totalFlushesRetried,1709312334944000000,1709312394955000000,0
IndexesFlusher.totalFlushingTimeUs,1709312334944000000,1709312394955000000,251535
VFSFlusher.totalContentionQuotaSpent,1709312334944000000,1709312394955000000,0
VFSFlusher.totalFlushingTimeUs,1709312334944000000,1709312394955000000,13428
FlushQueue.queueSizeMax,1709312334944000000,1709312394955000000,0
FlushQueue.queueSizeAvg,1709312334944000000,1709312394955000000,0.0
FlushQueue.executionTimeMaxNs,1709312334944000000,1709312394955000000,29622271
FlushQueue.executionTime90PNs,1709312334944000000,1709312394955000000,139263
FlushQueue.waitingTime90PNs,1709312334944000000,1709312394955000000,790527
AWTEventQueue.dispatchTimeTotalNS,1709312334944000000,1709312394955000000,1240810002
FlushQueue.tasksExecuted,1709312334944000000,1709312394955000000,57
AWTEventQueue.dispatchTimeAvgNs,1709312334944000000,1709312394955000000,1.4757353142857144E7
AWTEventQueue.dispatchTimeMaxNs,1709312334944000000,1709312394955000000,671088639
AWTEventQueue.dispatchTime90PNs,1709312334944000000,1709312394955000000,13172735
FlushQueue.executionTimeAvgNs,1709312334944000000,1709312394955000000,1204859.50877193
FlushQueue.waitingTimeAvgNs,1709312334944000000,1709312394955000000,1.9195059649122808E7
AWTEventQueue.eventsDispatched,1709312334944000000,1709312394955000000,84
FlushQueue.waitingTimeMaxNs,1709312334944000000,1709312394955000000,1027604479
FlushQueue.queueSize90P,1709312334944000000,1709312394955000000,0
DirectByteBufferAllocator.disposed,1709312334944000000,1709312394955000000,0
StorageLockContext.competingThreads.avg,1709312334944000000,1709312394955000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1709312334944000000,1709312394955000000,181436416
StreamlinedBlobStorage.recordsRelocated,1709312334944000000,1709312394955000000,0
FilePageCache.maxRegisteredFiles,1709312334944000000,1709312394955000000,608
FilePageCache.totalPageDisposalsUs,1709312334944000000,1709312394955000000,6247
FilePageCache.disposedBuffers,1709312334944000000,1709312394955000000,5
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1709312334944000000,1709312394955000000,0
FilePageCache.maxCacheSizeInBytes,1709312334944000000,1709312394955000000,181436416
FilePageCache.totalPageLoadsUs,1709312334944000000,1709312394955000000,556529
DirectByteBufferAllocator.hits,1709312334944000000,1709312394955000000,5
FilePageCache.capacityInBytes,1709312334944000000,1709312394955000000,524288000
DirectByteBufferAllocator.misses,1709312334944000000,1709312394955000000,168
StorageLockContext.competingThreads.max,1709312334944000000,1709312394955000000,0
DirectByteBufferAllocator.reclaimed,1709312334944000000,1709312394955000000,5
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1709312334944000000,1709312394955000000,0
FilePageCache.pageFastCacheHits,1709312334944000000,1709312394955000000,11542
StorageLockContext.competingThreads.90P,1709312334944000000,1709312394955000000,0
FilePageCache.pageLoads,1709312334944000000,1709312394955000000,173
StreamlinedBlobStorage.recordsDeleted,1709312334944000000,1709312394955000000,0
StreamlinedBlobStorage.recordsAllocated,1709312334944000000,1709312394955000000,0
FilePageCache.pageHits,1709312334944000000,1709312394955000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1709312334944000000,1709312394955000000,0
FilePageCache.uncachedFileAccess,1709312334944000000,1709312394955000000,213
FilePageCache.pageLoadsAboveSizeThreshold,1709312334944000000,1709312394955000000,0
VFSFlusher.totalFlushes,1709312394955000000,1709312454956000000,0
IndexesFlusher.totalFlushesRetried,1709312394955000000,1709312454956000000,0
IndexesFlusher.totalFlushes,1709312394955000000,1709312454956000000,60
IndexesFlusher.totalContentionQuotaSpent,1709312394955000000,1709312454956000000,0
VFSFlusher.totalFlushesRetried,1709312394955000000,1709312454956000000,0
IndexesFlusher.totalFlushingTimeUs,1709312394955000000,1709312454956000000,238160
VFSFlusher.totalContentionQuotaSpent,1709312394955000000,1709312454956000000,0
VFSFlusher.totalFlushingTimeUs,1709312394955000000,1709312454956000000,0
FlushQueue.queueSizeMax,1709312394955000000,1709312454956000000,10
FlushQueue.queueSizeAvg,1709312394955000000,1709312454956000000,0.08338368580060423
FlushQueue.executionTimeMaxNs,1709312394955000000,1709312454956000000,57982058495
FlushQueue.executionTime90PNs,1709312394955000000,1709312454956000000,186367
FlushQueue.waitingTime90PNs,1709312394955000000,1709312454956000000,1114111
AWTEventQueue.dispatchTimeTotalNS,1709312394955000000,1709312454956000000,5122387955
FlushQueue.tasksExecuted,1709312394955000000,1709312454956000000,1655
AWTEventQueue.dispatchTimeAvgNs,1709312394955000000,1709312454956000000,688640.2151405136
AWTEventQueue.dispatchTimeMaxNs,1709312394955000000,1709312454956000000,734003199
AWTEventQueue.dispatchTime90PNs,1709312394955000000,1709312454956000000,602111
FlushQueue.executionTimeAvgNs,1709312394955000000,1709312454956000000,3.563520387432024E7
FlushQueue.waitingTimeAvgNs,1709312394955000000,1709312454956000000,2672879.6809667675
AWTEventQueue.eventsDispatched,1709312394955000000,1709312454956000000,7437
FlushQueue.waitingTimeMaxNs,1709312394955000000,1709312454956000000,889192447
FlushQueue.queueSize90P,1709312394955000000,1709312454956000000,0
DirectByteBufferAllocator.disposed,1709312394955000000,1709312454956000000,0
StorageLockContext.competingThreads.avg,1709312394955000000,1709312454956000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1709312394955000000,1709312454956000000,181436416
StreamlinedBlobStorage.recordsRelocated,1709312394955000000,1709312454956000000,0
FilePageCache.maxRegisteredFiles,1709312394955000000,1709312454956000000,608
FilePageCache.totalPageDisposalsUs,1709312394955000000,1709312454956000000,0
FilePageCache.disposedBuffers,1709312394955000000,1709312454956000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1709312394955000000,1709312454956000000,0
FilePageCache.maxCacheSizeInBytes,1709312394955000000,1709312454956000000,181436416
FilePageCache.totalPageLoadsUs,1709312394955000000,1709312454956000000,0
DirectByteBufferAllocator.hits,1709312394955000000,1709312454956000000,0
FilePageCache.capacityInBytes,1709312394955000000,1709312454956000000,524288000
DirectByteBufferAllocator.misses,1709312394955000000,1709312454956000000,0
StorageLockContext.competingThreads.max,1709312394955000000,1709312454956000000,0
DirectByteBufferAllocator.reclaimed,1709312394955000000,1709312454956000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1709312394955000000,1709312454956000000,0
FilePageCache.pageFastCacheHits,1709312394955000000,1709312454956000000,0
StorageLockContext.competingThreads.90P,1709312394955000000,1709312454956000000,0
FilePageCache.pageLoads,1709312394955000000,1709312454956000000,0
StreamlinedBlobStorage.recordsDeleted,1709312394955000000,1709312454956000000,0
StreamlinedBlobStorage.recordsAllocated,1709312394955000000,1709312454956000000,0
FilePageCache.pageHits,1709312394955000000,1709312454956000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1709312394955000000,1709312454956000000,0
FilePageCache.uncachedFileAccess,1709312394955000000,1709312454956000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1709312394955000000,1709312454956000000,0
VFSFlusher.totalFlushes,1709312454956000000,1709312514955000000,0
IndexesFlusher.totalFlushesRetried,1709312454956000000,1709312514955000000,0
IndexesFlusher.totalFlushes,1709312454956000000,1709312514955000000,96
IndexesFlusher.totalContentionQuotaSpent,1709312454956000000,1709312514955000000,0
VFSFlusher.totalFlushesRetried,1709312454956000000,1709312514955000000,0
IndexesFlusher.totalFlushingTimeUs,1709312454956000000,1709312514955000000,11691507
VFSFlusher.totalContentionQuotaSpent,1709312454956000000,1709312514955000000,0
VFSFlusher.totalFlushingTimeUs,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1709312454956000000,1709312514955000000,0
jps.global.initialize.library.bridges.ms,1709312454956000000,1709312514955000000,0
workspaceModel.save.cache.to.file.ms,1709312454956000000,1709312514955000000,0
workspaceModel.global.updates.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1709312454956000000,1709312514955000000,0
jps.global.handle.changed.events.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.entities.ms,1709312454956000000,1709312514955000000,17
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1709312454956000000,1709312514955000000,0
jps.save.global.entities.ms,1709312454956000000,1709312514955000000,390
workspaceModel.sync.entities.ms,1709312454956000000,1709312514955000000,0
jps.app.storage.content.writer.save.component.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1709312454956000000,1709312514955000000,0
jps.global.handle.before.change.events.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1709312454956000000,1709312514955000000,0
workspaceModel.global.updates.count,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1709312454956000000,1709312514955000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1709312454956000000,1709312514955000000,0
jps.global.get.library.ms,1709312454956000000,1709312514955000000,0
