# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridge.update.option.ms,1709313814424000000,1709313874455000000,0
jps.global.get.libraries.ms,1709313814424000000,1709313874455000000,0
jps.project.serializers.save.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1709313814424000000,1709313874455000000,0
jps.global.initialize.library.bridges.after.loading.ms,1709313814424000000,1709313874455000000,0
workspaceModel.sync.entities.ms,1709313814424000000,1709313874455000000,0
jps.library.entities.serializer.load.entities.ms,1709313814424000000,1709313874455000000,239
workspaceModel.global.apply.state.to.project.builder.ms,1709313814424000000,1709313874455000000,1
jps.facet.change.listener.process.change.events.ms,1709313814424000000,1709313874455000000,7
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1709313814424000000,1709313874455000000,4
jps.load.project.to.empty.storage.ms,1709313814424000000,1709313874455000000,1388
workspaceModel.load.cache.from.file.ms,1709313814424000000,1709313874455000000,887
workspaceModel.moduleBridgeLoader.loading.modules.ms,1709313814424000000,1709313874455000000,2300
workspaceModel.mutableEntityStorage.add.entity.ms,1709313814424000000,1709313874455000000,577
jps.save.global.entities.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1709313814424000000,1709313874455000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1709313814424000000,1709313874455000000,0
jps.library.entities.serializer.save.entities.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1709313814424000000,1709313874455000000,7
jps.apply.loaded.storage.ms,1709313814424000000,1709313874455000000,548
jps.global.get.library.by.name.ms,1709313814424000000,1709313874455000000,0
jps.global.initialize.library.bridges.ms,1709313814424000000,1709313874455000000,17
workspaceModel.moduleManagerBridge.load.module.ms,1709313814424000000,1709313874455000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1709313814424000000,1709313874455000000,1943
workspaceModel.mutableEntityStorage.remove.entity.ms,1709313814424000000,1709313874455000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1709313814424000000,1709313874455000000,1245
jps.storage.jps.conf.reader.load.component.ms,1709313814424000000,1709313874455000000,175
jps.global.handle.changed.events.ms,1709313814424000000,1709313874455000000,0
workspaceModel.save.cache.to.file.ms,1709313814424000000,1709313874455000000,1251
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1709313814424000000,1709313874455000000,0
jps.save.changed.project.entities.ms,1709313814424000000,1709313874455000000,0
jps.facet.change.listener.before.change.events.ms,1709313814424000000,1709313874455000000,4
workspaceModel.global.apply.state.to.project.ms,1709313814424000000,1709313874455000000,6
workspaceModel.orphan.listener.update.ms,1709313814424000000,1709313874455000000,9
jps.global.handle.before.change.events.ms,1709313814424000000,1709313874455000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.entities.ms,1709313814424000000,1709313874455000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1709313814424000000,1709313874455000000,15
workspaceModel.moduleBridge.before.changed.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1709313814424000000,1709313874455000000,60
jps.load.initial.state.ms,1709313814424000000,1709313874455000000,10
jps.module.iml.entities.serializer.save.entities.ms,1709313814424000000,1709313874455000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1709313814424000000,1709313874455000000,3
jps.reload.project.entities.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1709313814424000000,1709313874455000000,379
jps.global.get.library.ms,1709313814424000000,1709313874455000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1709313814424000000,1709313874455000000,0
jps.app.storage.content.reader.load.component.ms,1709313814424000000,1709313874455000000,1
workspaceModel.global.updates.count,1709313814424000000,1709313874455000000,0
jps.facet.change.listener.init.bridge.ms,1709313814424000000,1709313874455000000,7
workspaceModel.mutableEntityStorage.put.entity.ms,1709313814424000000,1709313874455000000,301
jps.module.iml.entities.serializer.load.entities.ms,1709313814424000000,1709313874455000000,270
workspaceModel.global.updates.ms,1709313814424000000,1709313874455000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1709313814424000000,1709313874455000000,0
jps.project.serializers.load.ms,1709313814424000000,1709313874455000000,1381
jps.artifact.entities.serializer.load.entities.ms,1709313814424000000,1709313874455000000,0
jps.artifact.entities.serializer.save.entities.ms,1709313814424000000,1709313874455000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1709313814424000000,1709313874455000000,12
workspaceModel.moduleManagerBridge.get.modules.ms,1709313814424000000,1709313874455000000,0
