# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDuration90PMs,1709314229300000000,1709314289308000000,50.0
Indexes.stubs.lookupDuration90PMs,1709314229300000000,1709314289308000000,21.0
Indexes.entries.lookupDurationMaxMs,1709314229300000000,1709314289308000000,4223.0
Indexes.entries.lookups,1709314229300000000,1709314289308000000,57.0
Indexes.allKeys.lookupDurationMaxMs,1709314229300000000,1709314289308000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1709314229300000000,1709314289308000000,0.0
VFSFlusher.totalContentionQuotaSpent,1709314229300000000,1709314289308000000,0
Indexes.stubs.lookupDurationMaxMs,1709314229300000000,1709314289308000000,219.0
VFSFlusher.totalFlushes,1709314229300000000,1709314289308000000,11
Indexes.entries.lookupDurationAvgMs,1709314229300000000,1709314289308000000,99.43859649122807
IndexesFlusher.totalFlushingTimeUs,1709314229300000000,1709314289308000000,359832
Indexes.allKeys.lookups,1709314229300000000,1709314289308000000,3.0
IndexesFlusher.totalFlushesRetried,1709314229300000000,1709314289308000000,0
Indexes.stubs.lookupDurationAvgMs,1709314229300000000,1709314289308000000,11.771428571428572
Indexes.allKeys.lookupDuration90PMs,1709314229300000000,1709314289308000000,0.0
VFSFlusher.totalFlushesRetried,1709314229300000000,1709314289308000000,0
Indexes.stubs.lookups,1709314229300000000,1709314289308000000,35.0
IndexesFlusher.totalFlushes,1709314229300000000,1709314289308000000,47
IndexesFlusher.totalContentionQuotaSpent,1709314229300000000,1709314289308000000,0
VFSFlusher.totalFlushingTimeUs,1709314229300000000,1709314289308000000,185757
workspaceModel.collect.changes.ms,1709314229300000000,1709314289308000000,0
workspaceModel.init.bridges.ms,1709314229300000000,1709314289308000000,43
workspaceModel.update.unloaded.entities.ms,1709314229300000000,1709314289308000000,0
workspaceModel.updates.precise.ms,1709314229300000000,1709314289308000000,353
workspaceModel.pre.handlers.ms,1709314229300000000,1709314289308000000,2
workspaceModel.loading.from.cache.ms,1709314229300000000,1709314289308000000,806
workspaceModel.replace.project.model.ms,1709314229300000000,1709314289308000000,3
workspaceModel.to.snapshot.ms,1709314229300000000,1709314289308000000,2
workspaceModel.updates.ms,1709314229300000000,1709314289308000000,492
workspaceModel.loading.total.ms,1709314229300000000,1709314289308000000,902
workspaceModel.initializing.ms,1709314229300000000,1709314289308000000,43
workspaceModel.updates.count,1709314229300000000,1709314289308000000,17
workspaceModel.check.recursive.update.ms,1709314229300000000,1709314289308000000,0
FileNameCache.queries,1709314229300000000,1709314289308000000,10779274
FileNameCache.fastMisses,1709314229300000000,1709314289308000000,687029
FileNameCache.totalMisses,1709314229300000000,1709314289308000000,342270
NonBlockingReadAction.failedExecutionsCount,1709314229300000000,1709314289308000000,3
FlushQueue.executionTimeMaxNs,1709314229300000000,1709314289308000000,2734686207
FlushQueue.waitingTimeAvgNs,1709314229300000000,1709314289308000000,4.095704388896473E8
AWTEventQueue.dispatchTimeMaxNs,1709314229300000000,1709314289308000000,2734686207
FlushQueue.tasksExecuted,1709314229300000000,1709314289308000000,1758
AWTEventQueue.dispatchTime90PNs,1709314229300000000,1709314289308000000,8355839
NonBlockingReadAction.finalizedExecutionTimeUs,1709314229300000000,1709314289308000000,4984045
NonBlockingReadAction.finalizedExecutionsCount,1709314229300000000,1709314289308000000,81
AWTEventQueue.eventsDispatched,1709314229300000000,1709314289308000000,2861
FlushQueue.waitingTimeMaxNs,1709314229300000000,1709314289308000000,3087007743
FlushQueue.queueSize90P,1709314229300000000,1709314289308000000,49
FlushQueue.executionTime90PNs,1709314229300000000,1709314289308000000,5439487
NonBlockingReadAction.failedExecutionTimeUs,1709314229300000000,1709314289308000000,656872
FlushQueue.queueSizeMax,1709314229300000000,1709314289308000000,90
FlushQueue.waitingTime90PNs,1709314229300000000,1709314289308000000,1954545663
AWTEventQueue.dispatchTimeTotalNS,1709314229300000000,1709314289308000000,25963771361
FlushQueue.queueSizeAvg,1709314229300000000,1709314289308000000,12.687713310580206
AWTEventQueue.dispatchTimeAvgNs,1709314229300000000,1709314289308000000,9075853.544914365
FlushQueue.executionTimeAvgNs,1709314229300000000,1709314289308000000,8423221.234357225
