# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTime90PNs,1709313152391000000,1709313212421000000,272629759
FlushQueue.waitingTimeAvgNs,1709313152391000000,1709313212421000000,5.767210545454545E7
FlushQueue.executionTimeMaxNs,1709313152391000000,1709313212421000000,1979711487
FlushQueue.queueSize90P,1709313152391000000,1709313212421000000,7
FlushQueue.waitingTimeMaxNs,1709313152391000000,1709313212421000000,1132462079
AWTEventQueue.eventsDispatched,1709313152391000000,1709313212421000000,236
FlushQueue.queueSizeAvg,1709313152391000000,1709313212421000000,1.2613636363636365
AWTEventQueue.dispatchTimeMaxNs,1709313152391000000,1709313212421000000,1979711487
FlushQueue.tasksExecuted,1709313152391000000,1709313212421000000,88
AWTEventQueue.dispatchTime90PNs,1709313152391000000,1709313212421000000,4947967
FlushQueue.executionTimeAvgNs,1709313152391000000,1709313212421000000,2.5095188363636363E7
AWTEventQueue.dispatchTimeTotalNS,1709313152391000000,1709313212421000000,3124602245
FlushQueue.executionTime90PNs,1709313152391000000,1709313212421000000,4685823
FlushQueue.queueSizeMax,1709313152391000000,1709313212421000000,11
AWTEventQueue.dispatchTimeAvgNs,1709313152391000000,1709313212421000000,1.3237848949152542E7
IndexesFlusher.totalContentionQuotaSpent,1709313152391000000,1709313212421000000,0
VFSFlusher.totalFlushesRetried,1709313152391000000,1709313212421000000,0
IndexesFlusher.totalFlushes,1709313152391000000,1709313212421000000,54
IndexesFlusher.totalFlushesRetried,1709313152391000000,1709313212421000000,0
VFSFlusher.totalFlushes,1709313152391000000,1709313212421000000,0
VFSFlusher.totalFlushingTimeUs,1709313152391000000,1709313212421000000,0
VFSFlusher.totalContentionQuotaSpent,1709313152391000000,1709313212421000000,0
IndexesFlusher.totalFlushingTimeUs,1709313152391000000,1709313212421000000,233197
FilePageCache.capacityInBytes,1709313152391000000,1709313212421000000,524288000
