# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1709317812807000000,1709317872813000000,9891111
FileNameCache.totalMisses,1709317812807000000,1709317872813000000,223200
FileNameCache.fastMisses,1709317812807000000,1709317872813000000,521749
DirectByteBufferAllocator.misses,1709317812807000000,1709317872813000000,261
FilePageCache.maxRegisteredFiles,1709317812807000000,1709317872813000000,450
DirectByteBufferAllocator.hits,1709317812807000000,1709317872813000000,3
FilePageCache.pageHits,1709317812807000000,1709317872813000000,2080
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1709317812807000000,1709317872813000000,19586185
FilePageCache.totalPageLoadsUs,1709317812807000000,1709317872813000000,1397327
FilePageCache.maxCacheSizeInBytes,1709317812807000000,1709317872813000000,271745024
StreamlinedBlobStorage.recordsDeleted,1709317812807000000,1709317872813000000,321
DirectByteBufferAllocator.disposed,1709317812807000000,1709317872813000000,0
FilePageCache.totalPageDisposalsUs,1709317812807000000,1709317872813000000,562
FilePageCache.pageFastCacheHits,1709317812807000000,1709317872813000000,844881
StreamlinedBlobStorage.recordsRelocated,1709317812807000000,1709317872813000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1709317812807000000,1709317872813000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1709317812807000000,1709317872813000000,271745024
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1709317812807000000,1709317872813000000,0
FilePageCache.uncachedFileAccess,1709317812807000000,1709317872813000000,104
FilePageCache.disposedBuffers,1709317812807000000,1709317872813000000,3
DirectByteBufferAllocator.reclaimed,1709317812807000000,1709317872813000000,3
StreamlinedBlobStorage.recordsAllocated,1709317812807000000,1709317872813000000,277627
FilePageCache.pageLoads,1709317812807000000,1709317872813000000,264
StorageLockContext.competingThreads.avg,1709317812807000000,1709317872813000000,0.009174311926605505
FilePageCache.capacityInBytes,1709317812807000000,1709317872813000000,524288000
StorageLockContext.competingThreads.max,1709317812807000000,1709317872813000000,1
StorageLockContext.competingThreads.90P,1709317812807000000,1709317872813000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1709317812807000000,1709317872813000000,12221099
IndexesFlusher.totalContentionQuotaSpent,1709317812807000000,1709317872813000000,0
VFSFlusher.totalContentionQuotaSpent,1709317812807000000,1709317872813000000,0
Indexes.stubs.lookups,1709317812807000000,1709317872813000000,1697.0
Indexes.stubs.lookupDuration90PMs,1709317812807000000,1709317872813000000,0.0
IndexesFlusher.totalFlushingTimeUs,1709317812807000000,1709317872813000000,377961
Indexes.entries.lookups,1709317812807000000,1709317872813000000,2945.0
Indexes.allKeys.lookupDurationAvgMs,1709317812807000000,1709317872813000000,8.0
Indexes.entries.lookupDurationMaxMs,1709317812807000000,1709317872813000000,189.0
Indexes.allKeys.lookupDuration90PMs,1709317812807000000,1709317872813000000,15.0
Indexes.allKeys.lookups,1709317812807000000,1709317872813000000,2.0
Indexes.entries.lookupDurationAvgMs,1709317812807000000,1709317872813000000,0.40814940577249575
Indexes.entries.lookupDuration90PMs,1709317812807000000,1709317872813000000,0.0
IndexesFlusher.totalFlushes,1709317812807000000,1709317872813000000,51
VFSFlusher.totalFlushes,1709317812807000000,1709317872813000000,5
Indexes.stubs.lookupDurationAvgMs,1709317812807000000,1709317872813000000,0.42015321154979374
VFSFlusher.totalFlushesRetried,1709317812807000000,1709317872813000000,0
VFSFlusher.totalFlushingTimeUs,1709317812807000000,1709317872813000000,41943
Indexes.stubs.lookupDurationMaxMs,1709317812807000000,1709317872813000000,54.0
Indexes.allKeys.lookupDurationMaxMs,1709317812807000000,1709317872813000000,15.0
IndexesFlusher.totalFlushesRetried,1709317812807000000,1709317872813000000,0
JVM.threadCount,1709317812807000000,1709317872813000000,120
JVM.usedNativeBytes,1709317812807000000,1709317872813000000,471389880
JVM.maxHeapBytes,1709317812807000000,1709317872813000000,2147483648
JVM.usedHeapBytes,1709317812807000000,1709317872813000000,392167424
JVM.totalCpuTimeMs,1709317812807000000,1709317872813000000,100220
OS.loadAverage,1709317812807000000,1709317872813000000,4.31
JVM.maxNativeBytes,1709317812807000000,1709317872813000000,-1
JVM.GC.collectionTimesMs,1709317812807000000,1709317872813000000,1228
JVM.GC.collections,1709317812807000000,1709317872813000000,31
jps.save.global.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1709317812807000000,1709317872813000000,279
jps.facet.change.listener.process.change.events.ms,1709317812807000000,1709317872813000000,5
workspaceModel.moduleBridge.update.option.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1709317812807000000,1709317872813000000,3
workspaceModel.save.cache.to.file.ms,1709317812807000000,1709317872813000000,1305
workspaceModel.sync.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1709317812807000000,1709317872813000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1709317812807000000,1709317872813000000,2192
workspaceModel.moduleManagerBridge.load.module.ms,1709317812807000000,1709317872813000000,0
jps.artifact.entities.serializer.load.entities.ms,1709317812807000000,1709317872813000000,0
jps.apply.loaded.storage.ms,1709317812807000000,1709317872813000000,170
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1709317812807000000,1709317872813000000,27
jps.global.get.library.ms,1709317812807000000,1709317872813000000,0
jps.project.serializers.save.ms,1709317812807000000,1709317872813000000,0
jps.global.get.library.by.name.ms,1709317812807000000,1709317872813000000,0
jps.library.entities.serializer.load.entities.ms,1709317812807000000,1709317872813000000,148
jps.facet.change.listener.init.bridge.ms,1709317812807000000,1709317872813000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1709317812807000000,1709317872813000000,1225
jps.load.project.to.empty.storage.ms,1709317812807000000,1709317872813000000,631
workspaceModel.mutableEntityStorage.remove.entity.ms,1709317812807000000,1709317872813000000,0
workspaceModel.global.updates.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1709317812807000000,1709317872813000000,0
jps.global.get.libraries.ms,1709317812807000000,1709317872813000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1709317812807000000,1709317872813000000,0
jps.facet.change.listener.before.change.events.ms,1709317812807000000,1709317872813000000,0
jps.module.iml.entities.serializer.load.entities.ms,1709317812807000000,1709317872813000000,178
workspaceModel.moduleBridge.before.changed.ms,1709317812807000000,1709317872813000000,0
jps.project.serializers.load.ms,1709317812807000000,1709317872813000000,611
workspaceModel.mutableEntityStorage.replace.by.source.ms,1709317812807000000,1709317872813000000,87
workspaceModel.load.cache.from.file.ms,1709317812807000000,1709317872813000000,864
jps.app.storage.content.reader.load.component.ms,1709317812807000000,1709317872813000000,0
workspaceModel.orphan.listener.update.ms,1709317812807000000,1709317872813000000,13
workspaceModel.moduleManagerBridge.build.module.graph.ms,1709317812807000000,1709317872813000000,2
jps.reload.project.entities.ms,1709317812807000000,1709317872813000000,0
jps.load.initial.state.ms,1709317812807000000,1709317872813000000,13
workspaceModel.global.apply.state.to.project.builder.ms,1709317812807000000,1709317872813000000,1
workspaceModel.global.updates.count,1709317812807000000,1709317872813000000,0
jps.storage.jps.conf.reader.load.component.ms,1709317812807000000,1709317872813000000,149
jps.global.initialize.library.bridges.ms,1709317812807000000,1709317872813000000,27
workspaceModel.mutableEntityStorage.entities.by.source.ms,1709317812807000000,1709317872813000000,11
jps.global.handle.before.change.events.ms,1709317812807000000,1709317872813000000,0
jps.save.changed.project.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1709317812807000000,1709317872813000000,98
workspaceModel.mutableEntityStorage.referrers.ms,1709317812807000000,1709317872813000000,0
jps.global.initialize.library.bridges.after.loading.ms,1709317812807000000,1709317872813000000,0
jps.library.entities.serializer.save.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1709317812807000000,1709317872813000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1709317812807000000,1709317872813000000,0
workspaceModel.global.apply.state.to.project.ms,1709317812807000000,1709317872813000000,5
jps.artifact.entities.serializer.save.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1709317812807000000,1709317872813000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1709317812807000000,1709317872813000000,34
workspaceModel.mutableEntityStorage.resolve.ms,1709317812807000000,1709317872813000000,12
workspaceModel.mutableEntityStorage.put.entity.ms,1709317812807000000,1709317872813000000,59
jps.global.handle.changed.events.ms,1709317812807000000,1709317872813000000,0
jps.module.iml.entities.serializer.save.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1709317812807000000,1709317872813000000,811
workspaceModel.check.recursive.update.ms,1709317812807000000,1709317872813000000,3
workspaceModel.updates.count,1709317812807000000,1709317872813000000,17
workspaceModel.loading.total.ms,1709317812807000000,1709317872813000000,904
workspaceModel.pre.handlers.ms,1709317812807000000,1709317872813000000,1
workspaceModel.update.unloaded.entities.ms,1709317812807000000,1709317872813000000,0
workspaceModel.updates.precise.ms,1709317812807000000,1709317872813000000,111
workspaceModel.replace.project.model.ms,1709317812807000000,1709317872813000000,22
workspaceModel.updates.ms,1709317812807000000,1709317872813000000,336
workspaceModel.to.snapshot.ms,1709317812807000000,1709317872813000000,25
workspaceModel.initializing.ms,1709317812807000000,1709317872813000000,30
workspaceModel.collect.changes.ms,1709317812807000000,1709317872813000000,0
workspaceModel.loading.from.cache.ms,1709317812807000000,1709317872813000000,867
workspaceModel.init.bridges.ms,1709317812807000000,1709317872813000000,31
FlushQueue.executionTimeAvgNs,1709317812807000000,1709317872813000000,7236374.557823129
NonBlockingReadAction.finalizedExecutionsCount,1709317812807000000,1709317872813000000,634
AWTEventQueue.dispatchTime90PNs,1709317812807000000,1709317872813000000,10223615
AWTEventQueue.eventsDispatched,1709317812807000000,1709317872813000000,3160
FlushQueue.queueSizeAvg,1709317812807000000,1709317872813000000,12.36977648202138
FlushQueue.executionTime90PNs,1709317812807000000,1709317872813000000,6422527
FlushQueue.queueSize90P,1709317812807000000,1709317872813000000,43
FlushQueue.waitingTime90PNs,1709317812807000000,1709317872813000000,1052770303
FlushQueue.waitingTimeAvgNs,1709317812807000000,1709317872813000000,3.107716183770651E8
FlushQueue.tasksExecuted,1709317812807000000,1709317872813000000,2058
NonBlockingReadAction.finalizedExecutionTimeUs,1709317812807000000,1709317872813000000,4169115
FlushQueue.waitingTimeMaxNs,1709317812807000000,1709317872813000000,3791650815
NonBlockingReadAction.failedExecutionTimeUs,1709317812807000000,1709317872813000000,209574
AWTEventQueue.dispatchTimeMaxNs,1709317812807000000,1709317872813000000,2650800127
AWTEventQueue.dispatchTimeAvgNs,1709317812807000000,1709317872813000000,8145833.610126582
FlushQueue.queueSizeMax,1709317812807000000,1709317872813000000,72
NonBlockingReadAction.failedExecutionsCount,1709317812807000000,1709317872813000000,3
AWTEventQueue.dispatchTimeTotalNS,1709317812807000000,1709317872813000000,25728123869
FlushQueue.executionTimeMaxNs,1709317812807000000,1709317872813000000,2617245695
FileNameCache.queries,1709317872813000000,1709317932813000000,34
FileNameCache.totalMisses,1709317872813000000,1709317932813000000,2
FileNameCache.fastMisses,1709317872813000000,1709317932813000000,8
