# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1709312590070000000,1709312650090000000,179
FileNameCache.fastMisses,1709312590070000000,1709312650090000000,12
FileNameCache.totalMisses,1709312590070000000,1709312650090000000,11
FlushQueue.waitingTimeMaxNs,1709312590070000000,1709312650090000000,2013265919
AWTEventQueue.dispatchTimeTotalNS,1709312590070000000,1709312650090000000,3478509254
FlushQueue.waitingTimeAvgNs,1709312590070000000,1709312650090000000,6.609506821505377E7
FlushQueue.executionTime90PNs,1709312590070000000,1709312650090000000,4849663
FlushQueue.waitingTime90PNs,1709312590070000000,1709312650090000000,171966463
FlushQueue.queueSizeAvg,1709312590070000000,1709312650090000000,1.3225806451612903
FlushQueue.executionTimeAvgNs,1709312590070000000,1709312650090000000,2.6843308731182795E7
AWTEventQueue.eventsDispatched,1709312590070000000,1709312650090000000,314
FlushQueue.tasksExecuted,1709312590070000000,1709312650090000000,93
AWTEventQueue.dispatchTime90PNs,1709312590070000000,1709312650090000000,2883583
AWTEventQueue.dispatchTimeAvgNs,1709312590070000000,1709312650090000000,1.1070192101910828E7
FlushQueue.executionTimeMaxNs,1709312590070000000,1709312650090000000,2231369727
AWTEventQueue.dispatchTimeMaxNs,1709312590070000000,1709312650090000000,2231369727
FlushQueue.queueSize90P,1709312590070000000,1709312650090000000,7
FlushQueue.queueSizeMax,1709312590070000000,1709312650090000000,12
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1709312590070000000,1709312650090000000,0
workspaceModel.load.cache.from.file.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1709312590070000000,1709312650090000000,0
jps.global.initialize.library.bridges.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1709312590070000000,1709312650090000000,0
jps.save.global.entities.ms,1709312590070000000,1709312650090000000,161
workspaceModel.mutableEntityStorage.to.snapshot.ms,1709312590070000000,1709312650090000000,0
jps.load.initial.state.ms,1709312590070000000,1709312650090000000,20
jps.global.handle.before.change.events.ms,1709312590070000000,1709312650090000000,0
jps.global.get.libraries.ms,1709312590070000000,1709312650090000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1709312590070000000,1709312650090000000,0
jps.app.storage.content.writer.save.component.ms,1709312590070000000,1709312650090000000,0
jps.library.entities.serializer.load.entities.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.entities.ms,1709312590070000000,1709312650090000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1709312590070000000,1709312650090000000,0
workspaceModel.global.apply.state.to.project.ms,1709312590070000000,1709312650090000000,0
jps.global.get.library.ms,1709312590070000000,1709312650090000000,0
jps.global.handle.changed.events.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1709312590070000000,1709312650090000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1709312590070000000,1709312650090000000,0
